Iteration;Period;Output;Value;Type
"8";"16";OSUPPL;0.00000;Total
"8";"16";VOLINVENT;121416.93674;Total
"3";"17";OSUPREC;304.89531;Total
"3";"17";OVOLREC;36592.48942;Total
"3";"17";OSUPPL;0.00000;Total
"3";"17";VOLINVENT;118383.02366;Total
"8";"17";OSUPREC;304.89531;Total
"8";"17";OVOLREC;36592.48942;Total
"8";"17";OSUPPL;0.00000;Total
"8";"17";VOLINVENT;118383.02366;Total
"3";"18";OSUPREC;344.73216;Total
"3";"18";OVOLREC;36489.61638;Total
"3";"18";OSUPPL;0.00000;Total
"3";"18";VOLINVENT;116866.97604;Total
"8";"18";OSUPREC;344.73216;Total
"8";"18";OVOLREC;36489.61638;Total
"8";"18";OSUPPL;0.00000;Total
"8";"18";VOLINVENT;116866.97604;Total
"3";"19";OSUPREC;358.41795;Total
"3";"19";OVOLREC;36469.45384;Total
"3";"19";OSUPPL;0.00000;Total
"3";"19";VOLINVENT;115684.92042;Total
"8";"19";OSUPREC;358.41795;Total
"8";"19";OVOLREC;36469.45384;Total
"8";"19";OSUPPL;0.00000;Total
"8";"19";VOLINVENT;115684.92042;Total
"3";"20";OSUPREC;360.35839;Total
"3";"20";OVOLREC;36458.30856;Total
"3";"20";OSUPPL;0.00000;Total
"3";"20";VOLINVENT;114654.83312;Total
"8";"20";OSUPREC;360.35839;Total
"8";"20";OVOLREC;36458.30856;Total
"8";"20";OSUPPL;0.00000;Total
"8";"20";VOLINVENT;114654.83312;Total
"4";"1";OSUPREC;230.60871;Total
"4";"1";OVOLREC;41219.88007;Total
"4";"1";OSUPPL;201.64000;Total
"4";"1";VOLINVENT;268183.92699;Total
"9";"1";OSUPREC;230.60871;Total
"9";"1";OVOLREC;41219.88007;Total
"9";"1";OSUPPL;201.64000;Total
"9";"1";VOLINVENT;268183.92699;Total
"4";"2";OSUPREC;204.51980;Total
"4";"2";OVOLREC;40846.36373;Total
"4";"2";OSUPPL;201.64000;Total
"4";"2";VOLINVENT;249029.88831;Total
"9";"2";OSUPREC;204.51980;Total
"9";"2";OVOLREC;40846.36373;Total
"9";"2";OSUPPL;201.64000;Total
"9";"2";VOLINVENT;249029.88831;Total
"4";"3";OSUPREC;282.14312;Total
"4";"3";OVOLREC;40500.59206;Total
"4";"3";OSUPPL;201.64000;Total
"4";"3";VOLINVENT;233043.05245;Total
"9";"3";OSUPREC;282.14312;Total
"9";"3";OVOLREC;40500.59206;Total
"9";"3";OSUPPL;201.64000;Total
"9";"3";VOLINVENT;233043.05245;Total
"4";"4";OSUPREC;276.35245;Total
"4";"4";OVOLREC;40147.48943;Total
"4";"4";OSUPPL;201.64000;Total
"4";"4";VOLINVENT;215736.76370;Total
"9";"4";OSUPREC;276.35245;Total
"9";"4";OVOLREC;40147.48943;Total
"9";"4";OSUPPL;201.64000;Total
"9";"4";VOLINVENT;215736.76370;Total
"4";"5";OSUPREC;203.03508;Total
"4";"5";OVOLREC;39612.76595;Total
"4";"5";OSUPPL;201.64000;Total
"4";"5";VOLINVENT;200188.98919;Total
"9";"5";OSUPREC;203.03508;Total
"9";"5";OVOLREC;39612.76595;Total
"9";"5";OSUPPL;201.64000;Total
"9";"5";VOLINVENT;200188.98919;Total
"4";"6";OSUPREC;303.05703;Total
"4";"6";OVOLREC;38999.50269;Total
