CONSTRAINT;OUTPUT;PERIOD;PERCENTAGE
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;9;1.288678873953109
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;10;0.9030919957553653
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;11;0.4313353087793087
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;12;1.5158927571684633
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;13;1.5158927571684988
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;14;2.485050405404616
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;15;3.0618438674024393
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;16;1.4111771188592521
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;17;-0.27650653331694874
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;18;-0.9911386648730038
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;19;0.22308707409877904
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;20;0.22308707409877895
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;1;9.825971121884382e-14
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;2;-1.4527217335885665
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;3;-1.4527217335884204
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;4;-1.4527217335884366
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;5;-1.4527217335883091
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;6;-1.452721733588262
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;7;1.355762198562666
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;8;2.6526383562642275
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;9;1.2886788739544293
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;10;0.9030919957550745
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;11;0.43133530877919696
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;12;1.515892757168357
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;13;1.5158927571682628
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;14;2.485050405404572
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;15;3.0618438674025494
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;16;1.4111771188588376
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;17;-0.27650653331715813
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;18;-0.9911386648734563
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;19;0.2230870740990807
OVOLGFIREC >=100787.000000   1;OVOLTOTREC;20;0.22308707409906176
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;1;8.188309268236984e-14
